Nom,address_raw,formatted_address,lat,lng,non_dangereux,dangereux,amiantes
Déchèterie Cruas,Déchèterie Cruas Déchetterie du Verseau Chemin de la Créma Cruas 07350,"La Charité, 07350 Cruas, France",44.64010090000001,4.762611199999999,True,True,False
Déchèterie Culoz,Déchèterie Culoz Parc d'Activite des Fours  Culoz 01350,"ZI en Brachay, Rue de Luyrieux, 01350 Culoz, France",45.8474041,5.7684905,True,True,False
Déchèterie Decines-Charpieu,Déchèterie Decines-Charpieu Decines-Charpieu 64/68 Rue P. et M. Barbezat Décines-Charpieu 69150,"68 Rue Paul Bert et M, 69150 Décines-Charpieu, France",45.7658192,4.9590054,True,True,False
Déchèterie Die,Déchèterie Die Dechetterie de Die Quartier Ruinel Die 26150,"Ruinel, 26150 Die, France",44.765227,5.3311529,True,True,False
Déchèterie Dieulefit,Déchèterie Dieulefit Graveyron Quartier Graveyron#dieulefit Dieulefit 26220,"quartier, 26220 Dieulefit, France",44.5274963,5.0338973,True,True,False
Déchèterie Dingy-Saint-Clair,Déchèterie Dingy-Saint-Clair Route de Provenat Provenat Dingy-Saint-Clair 74230,"Rte de Provenat, 74230 Dingy-Saint-Clair, France",45.9020568,6.2227146,True,True,False
Déchèterie Domessin,Déchèterie Domessin les Francais les Francais Domessin 73330,"Rte de Verel de Montbel, 73330 Domessin, France",45.5466942,5.714559599999999,True,True,False
Déchèterie Douvaine,Déchèterie Douvaine Artangy Avenue du Lac Douvaine 74140,"Av. du Lac, 74140 Douvaine, France",46.31111689999999,6.2858658,True,True,False
Déchèterie Drumettaz-Clarafond,Déchèterie Drumettaz-Clarafond Drumettaz Chemin du Martinet# Drumettaz-Clarafond 73420,"Chem. du Martinet, 73420 Drumettaz-Clarafond, France",45.6604722,5.9113205,False,False,True
Déchèterie Entre-deux-guiers,Déchèterie Entre-deux-guiers Zi Chartreuse - Guiers Zi Chartreuse Guiers Entre-deux-Guiers 38380,"186 Imp. de la Rosette, 38380 Entre-Deux-Guiers, France",45.4126853,5.745260699999999,True,True,True
Déchèterie Estivareilles,Déchèterie Estivareilles Lieu Dit Sagne Croze Déchèterie de Tortorel Estivareilles 42380,"Tortorel, 42380 Estivareilles, France",45.4302696,4.0401643,True,True,False
Déchèterie Etoile-sur-Rhone,Déchèterie Etoile-sur-Rhone Déchèterie Quartier St Marcellin 26800 Etoile sur Rhône Étoile-sur-Rhône 26800,"Saint-Marcellin, 26800 Étoile-sur-Rhône, France",44.8310648,4.9080287,False,False,True
Déchèterie Eurre,Déchèterie Eurre Quartier Brunelle Près de la Base Tgv Eurre 26400,"Brunelle, 26400 Eurre, France",44.738273,4.975049,False,False,True
Déchèterie Feillens,Déchèterie Feillens Feillens Route de Passant Feillens 01570,"Les Janssets Nord, Rte de Passant, 01570 Feillens, France",46.34570309999999,4.9022254,True,True,True
Déchèterie Feurs,Déchèterie Feurs Lieu Dit les Prévoriaux  Feurs 42110,"Lieu-dit Les Prévoriaux, 42110 Feurs, France",45.716445,4.2295733,False,False,True
Déchèterie Fillinges,Déchèterie Fillinges Pont Jacob 1665 Route du Chef Lieu Fillinges 74250,"Fillinges, Pont Jacob, 74250 Fillinges, France",46.154079,6.339913999999999,True,True,False
Déchèterie Fitilieu,Déchèterie Fitilieu Tapon  Fitilieu* 38490,"874-1354 Rte de Tapon, 38490 Les Abrets en Dauphiné, France",45.55586479999999,5.5447658,True,True,False
Déchèterie Fleurieux-sur-l'arbresle,Déchèterie Fleurieux-sur-l'arbresle Lieu Dit Sous la Roche le Buvetroute Nationale 7 Fleurieux-sur-l'Arbresle 69210,"1699 Rte de Lyon 919, 69210 Fleurieux-sur-l'Arbresle, France",45.8351923,4.6628858,False,False,True
Déchèterie Fontcouverte-la Toussuire,Déchèterie Fontcouverte-la Toussuire Fontcouverte-Villarembert au Plan des Chaumes Fontcouverte-la-Toussuire 73300,"Fontcouverte, 73300 Fontcouverte-la-Toussuire, France",45.246706,6.303184,True,True,True
Déchèterie Francheleins,Déchèterie Francheleins Route de Saint Trivier Rd 27 - Cesseins Francheleins 01090,"Rte de Saint-Trivier, 01090 Francheleins, France",46.0738165,4.8301225,True,True,False
Déchèterie Francheville,Déchèterie Francheville Francheville 29 Route de la Gare Francheville 69340,"29 Rte de la Gare, 69340 Francheville, France",45.7290522,4.7715673,True,True,False
Déchèterie Frangy,Déchèterie Frangy Champagne Route de Biolle Frangy 74270,"D310, 74270 Frangy, France",46.0173373,5.9130395,True,True,False
Déchèterie Genas,Déchèterie Genas Genas Rue de l'Egalite Genas 69740,"Rue de l'Égalité, 69740 Genas, France",45.7452379,5.0072187,True,True,False
Déchèterie Gets (les),Déchèterie Gets (les) Route des Lanches  Les Gets 74260,"Rte des Lanches, 74260 Les Gets, France",46.144762,6.652322,True,True,False
Déchèterie Gilly-sur-isere,"Déchèterie Gilly-sur-isere Déchetterie 147, Route du Grand Arc Gilly-sur-Isère 73200","147 Rte du Grand Arc, 73200 Gilly-sur-Isère, France",45.651107,6.358897,True,True,False
Déchèterie Gresy-sur-Aix,Déchèterie Gresy-sur-Aix Pontpierre Route Napoléon Lieu-Dit Pontpierre Grésy-sur-Aix 73100,"149 Rte Napoléon, 73100 Grésy-sur-Aix, France",45.7121261,5.9174801,False,False,True
Déchèterie Grignan,Déchèterie Grignan les Blaches Ouest  Grignan 26230,"Les Blaches O, 26230 Grignan, France",44.4106581,4.8951387,True,True,False
Déchèterie Grigny,Déchèterie Grigny Grigny 28 Avenue Chantelot Grigny 69520,"28 Av. de Chantelot, 69520 Grigny, France",45.6082096,4.767814899999999,True,True,False
Déchèterie Guilherand-Granges,Déchèterie Guilherand-Granges 1278 Rue Henri Dunant 1278 Rue Henri Dunant Guilherand-Granges 07500,"1278 Rue Henri Dunant, 07500 Guilherand-Granges, France",44.9410901,4.86682,False,False,True
Déchèterie Hauteville-Lompnes,Déchèterie Hauteville-Lompnes Déchetterie Intercommunale Zone Artisanale la Cornella Hauteville-Lompnes* 01110,"ZA la Cornella, 01110 Plateau d'Hauteville, France",45.97952799999999,5.580269899999999,True,True,True
Déchèterie Huez,"Déchèterie Huez Déchèterie Alpe d'Huez Route de l'Alpe d'Huez ""la Patte d'Oie"" Huez 38750","Pl. Joseph Paganon, 38750 Huez, France",45.0906281,6.0649402,True,True,True
Déchèterie Intercommunale de Comblat le Château,Déchèterie Intercommunale de Comblat le Château Za Comblat- Le-château  Vic-sur-Cère 15800,"ZA de, 15800 Vic-sur-Cère, France",44.9660767,2.6095244,True,True,False
Déchèterie Intercommunale de Donzère,Déchèterie Intercommunale de Donzère Sita Centre Est 345 Chemin des Bouzarudes Donzère 26290,"345 Chemin des Bouzarudes, 26290 Donzère, France",44.4240676,4.739683,True,True,False
Déchèterie Isle-d'Abeau (l' ),Déchèterie Isle-d'Abeau (l' ) l'Isle d'Abeau Rue Catalans L'Isle-d'Abeau 38080,"Rue des Catalans, 38080 L'Isle-d'Abeau, France",45.6283337,5.211031,True,True,False
Déchèterie Izernore,Déchèterie Izernore sur Champ Biolay Zi sur Champagne Izernore 01580,"Sur Champ Biolay, 01580 Izernore, France",46.20460200000001,5.54692,True,True,True
Déchèterie Jons,Déchèterie Jons le Rigolet Départementale 550 C Jons 69330,"48 Rte de Pusignan, 69330 Jons, France",45.787387,5.080992999999999,True,True,False
Déchèterie Joyeuse,Déchèterie Joyeuse Quartier le Fadas  Joyeuse 07260,"Le Fadas, 07260 Joyeuse, France",44.4762649,4.2249169,False,False,True
